Слово;Частота;Частота (в %)
p;5431;51.8473%
emphasis;368;3.51313%
title;66;0.630072%
section;62;0.591885%
line;40;0.381862%
empty;40;0.381862%
subtitle;38;0.362768%
V;8;0.0763723%
1;7;0.0668258%
genre;6;0.0572792%
50;6;0.0572792%
3;5;0.0477327%
H;5;0.0477327%
z;5;0.0477327%
Y;5;0.0477327%
name;5;0.0477327%
17;5;0.0477327%
0;4;0.0381862%
2;4;0.0381862%
101;4;0.0381862%
5;4;0.0381862%
Z;4;0.0381862%
8fDX;4;0.0381862%
B;4;0.0381862%
1957;4;0.0381862%
lang;4;0.0381862%
J;3;0.0286396%
W;3;0.0286396%
Q;3;0.0286396%
iT;3;0.0286396%
info;3;0.0286396%
j;3;0.0286396%
4;3;0.0286396%
I;3;0.0286396%
zhF;3;0.0286396%
22;3;0.0286396%
m;3;0.0286396%
n;3;0.0286396%
8;3;0.0286396%
o;3;0.0286396%
M;3;0.0286396%
a;3;0.0286396%
1978;3;0.0286396%
u;3;0.0286396%
wC;3;0.0286396%
ll1;3;0.0286396%
8Azg;2;0.0190931%
G;2;0.0190931%
T;2;0.0190931%
7;2;0.0190931%
U;2;0.0190931%
0Zqq;2;0.0190931%
28;2;0.0190931%
3wZ8L3;2;0.0190931%
Lrn;2;0.0190931%
X;2;0.0190931%
FictionBook;2;0.0190931%
annotation;2;0.0190931%
author;2;0.0190931%
binary;2;0.0190931%
body;2;0.0190931%
book;2;0.0190931%
c;2;0.0190931%
cover;2;0.0190931%
coverpage;2;0.0190931%
d;2;0.0190931%
description;2;0.0190931%
detective;2;0.0190931%
9;2;0.0190931%
RXX9HXF1H;2;0.0190931%
first;2;0.0190931%
O;2;0.0190931%
h;2;0.0190931%
http;2;0.0190931%
hz4T;2;0.0190931%
i;2;0.0190931%
L7;2;0.0190931%
image;2;0.0190931%
1999;2;0.0190931%
Enhf;2;0.0190931%
jpg;2;0.0190931%
kz;2;0.0190931%
l;2;0.0190931%
BTK;2;0.0190931%
BTq3;2;0.0190931%
ABJ;2;0.0190931%
R;2;0.0190931%
lt1;2;0.0190931%
Rr;2;0.0190931%
E;2;0.0190931%
F;2;0.0190931%
A;2;0.0190931%
2009;2;0.0190931%
q;2;0.0190931%
r;2;0.0190931%
ru;2;0.0190931%
30;2;0.0190931%
src;2;0.0190931%
Qt;2;0.0190931%
21;2;0.0190931%
S;2;0.0190931%
v;2;0.0190931%
vP;2;0.0190931%
w;2;0.0190931%
w7WH;2;0.0190931%
L;2;0.0190931%
www;2;0.0190931%
wy;2;0.0190931%
x;2;0.0190931%
xml;2;0.0190931%
xmlns;2;0.0190931%
N;2;0.0190931%
last;2;0.0190931%
0pBIU;1;0.00954654%
0pPzryj;1;0.00954654%
0q5sNS0q;1;0.00954654%
0rAnaSPXl7T9RkqeR;1;0.00954654%
0rhiP;1;0.00954654%
0tT2otTYZjlxnl;1;0.00954654%
